,address,historical_description_count,historical_word_count,lat,lng,map_url,name,total_description_count,total_word_count,url,viewport,0
????,Taiwan,1,59,23.69781,120.960515,https://maps.google.com/?q=Taiwan&ftid=0x346ef3065c07572f:0xe711f004bf9c5469,Taiwan,737,26600,https://zh.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B,"{'northeast': {'lng': 122.0071612, 'lat': 25.2996232}, 'southwest': {'lng': 120.0350435, 'lat': 21.8156481}}",3.5732887262192157
?????,"No. 272?, Zhongzheng 4th Rd, Yancheng District, Kaohsiung City, Taiwan 803",1,59,22.62673699999999,120.286883,https://maps.google.com/?cid=7440464235140680198,Kaohsiung Museum of History,801,25364,https://zh.wikipedia.org/wiki/%E9%AB%98%E9%9B%84%E5%B8%82%E6%AD%B7%E5%8F%B2,,3.5657092010610887
????,"No. 1, Section 4, Roosevelt Rd, Da?an District, Taipei City, Taiwan 10617",1,54,25.0173405,121.5397518,https://maps.google.com/?cid=2410837594748059494,National Taiwan University,725,15210,https://zh.wikipedia.org/wiki/%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8,,3.3917369802911814
??????,"No. 1, Section 4, Roosevelt Rd, Da?an District, Taipei City, Taiwan 10617",1,54,25.0173405,121.5397518,https://maps.google.com/?cid=2410837594748059494,National Taiwan University,725,15210,https://zh.wikipedia.org/wiki/%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8,,3.3917369802911814
????,"No. 236, Section 1, Zhongshan Rd, Yonghe District, New Taipei City, Taiwan 234",1,44,25.007963,121.507808,https://maps.google.com/?cid=10286619116661793637,???????,334,8691,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E5%AE%97%E6%95%99,,3.0239528759986265
????,"314, Taiwan, Hsinchu County, Beipu Township, ?????????3?6?",0,0,24.6997626,121.056437,https://maps.google.com/?cid=5693770564647195134,????,239,6565,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E5%8F%A4%E9%81%93,,0.0
??????,"10048, Taiwan, Taipei City, Zhongshan District, ?? ?? ? ?? ? ?? ?? ?",0,0,25.039063,121.517657,https://maps.google.com/?cid=4233731318414525407,????--??(???),81,1753,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E5%BA%9C%E5%9F%8E%E6%9D%B1%E9%96%80,,0.0
????,"No. 22, Lane 61, Tianxiang Rd, Zhongshan District, Taipei City, Taiwan 104",0,0,25.0633537,121.5216139,https://maps.google.com/?cid=11022209181667844437,???????,311,9443,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E4%BA%BA%E6%AC%8A,,0.0
????,"235, Taiwan, Zhonghe District, ????????482?3?",0,0,25.005466,121.486923,https://maps.google.com/?cid=10598083489929369057,??????,168,2714,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E5%85%AC%E8%B7%AF,,0.0
????,"Puzi City, Chiayi County, Taiwan 613",0,0,23.4481474,120.2890913,https://maps.google.com/?cid=3729186996994326864,?????????????,77,2185,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E5%8B%95%E7%95%AB,,0.0
???????,"10043, Taiwan, Taipei City, Zhongzheng District, ?? ?? ? ?? ?? ?? ? ? ? ?",0,0,25.036906,121.508065,https://maps.google.com/?cid=4789649488129043771,????--???(???),42,797,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E5%BA%9C%E5%9F%8E%E5%B0%8F%E5%8D%97%E9%96%80,,0.0
???????,"No. 100, Section 3, Ximen Rd, North District, Tainan City, Taiwan 704",0,0,23.00138,120.202986,https://maps.google.com/?cid=7344796252226309278,???????,54,1208,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8D%97%E4%B8%89%E5%B1%B1%E5%9C%8B%E7%8E%8B%E5%BB%9F,,0.0
??????,"10048, Taiwan, Taipei City, Zhongzheng District, ?? ? ?? ? ? ?? ? ? ? ?? ?? ?? ? ? ?",0,0,25.035152,121.51499,https://maps.google.com/?cid=7139895411858089644,????--??(???),35,530,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E5%BA%9C%E5%9F%8E%E5%8D%97%E9%96%80,,0.0
????,"No. 344, Zhongshan Rd, Qingshui District, Taiwan 436",0,0,24.2745031,120.5820933,https://maps.google.com/?cid=10415884022731577007,Renkou Day Care,251,5364,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E4%BA%BA%E5%8F%A3,,0.0
????,Taiwan,0,0,23.973932,120.979743,https://maps.google.com/?cid=1064486467484527212,?????,258,4317,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E5%9C%B0%E7%90%86,,0.0
????,"No. 167-1, Gangdong Rd, Wanli District, New Taipei City, Taiwan 207",0,0,25.2072029,121.690895,https://maps.google.com/?cid=16487985207228655703,??????,297,5686,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E5%9C%B0%E8%B3%AA,,0.0
????,"10051, No. 2-2, Section 1, Jinan Rd, Zhongzheng District, Taipei City, Taiwan 100",0,0,25.0428893,121.520176,https://maps.google.com/?cid=5458630268775368970,"Bureau of Consular Affairs, Ministry of Foreign Affairs",38,653,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E5%A4%96%E4%BA%A4,,0.0
????,"No. 41, Minzu Rd, Pingtung City, Pingtung County, Taiwan 90078",0,0,22.6695911,120.4904673,https://maps.google.com/?cid=17541663581791047811,????,57,1010,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E5%A4%9C%E5%B8%82,,0.0
???????,"No. 26, Yanping S Rd, Zhongzheng District, Taipei City, Taiwan 100",0,0,25.046712,121.510806,https://maps.google.com/?cid=2379220359607096113,???????,60,1797,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E6%92%AB%E8%87%BA%E8%A1%97%E6%B4%8B%E6%A8%93,,0.0
