,address,historical_description_count,historical_word_count,lat,lng,map_url,name,total_description_count,total_word_count,url,viewport,0
???,"Taipei City, Taiwan",90,5672,25.0329636,121.5654268,"https://maps.google.com/?q=Taipei+City,+Taiwan&ftid=0x3442ac6b61dbbd8b:0xbcd1baad5c06a482",Taipei City,578,14720,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E5%B8%82,"{'southwest': {'lat': 24.9605084, 'lng': 121.4605562}, 'northeast': {'lat': 25.2103038, 'lng': 121.6659421}}",361.1059383921116
????,"No. 1, Changde St, Zhongzheng District, Taipei City, Taiwan 100",122,5187,25.041466,121.517179,https://maps.google.com/?cid=16341203675024949987,National Taiwan University Hospital West Building,453,8362,https://zh.wikipedia.org/wiki/%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E9%99%A2%E9%99%84%E8%A8%AD%E9%86%AB%E9%99%A2,,350.49046462543873
?????????????,"No. 1, Changde St, Zhongzheng District, Taipei City, Taiwan 100",122,5187,25.041466,121.517179,https://maps.google.com/?cid=16341203675024949987,National Taiwan University Hospital West Building,453,8362,https://zh.wikipedia.org/wiki/%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E9%99%A2%E9%99%84%E8%A8%AD%E9%86%AB%E9%99%A2,,350.49046462543873
????,"108, Taiwan, Taipei City, Wanhua District, ?????20?7?",65,5055,25.045016,121.508053,https://maps.google.com/?cid=6470317049324699983,??????,323,10209,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E9%9B%BB%E5%BD%B1,,341.13599102049386
?????,"108, Taiwan, Taipei City, Wanhua District, ?????20?7?",65,5055,25.045016,121.508053,https://maps.google.com/?cid=6470317049324699983,??????,323,10209,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E9%9B%BB%E5%BD%B1,,341.13599102049386
???,"Chiayi City, Taiwan 600",75,5233,23.4800751,120.4491113,"https://maps.google.com/?q=Chiayi+City,+Taiwan+600&ftid=0x346e9431bd030075:0x30666786f16c696e",Chiayi City,786,18812,https://zh.wikipedia.org/wiki/%E5%98%89%E7%BE%A9%E5%B8%82,"{'southwest': {'lat': 23.4395747, 'lng': 120.3891934}, 'northeast': {'lat': 23.5183403, 'lng': 120.5093995}}",321.5175622056231
??????,"No. 1, Daxue Rd, East District, Tainan City, Taiwan 701",51,4365,22.9996873,120.2180947,https://maps.google.com/?cid=16207894908768854430,National Cheng Kung University,432,9912,https://zh.wikipedia.org/wiki/%E5%9C%8B%E7%AB%8B%E6%88%90%E5%8A%9F%E5%A4%A7%E5%AD%B8,,289.1958813332175
????????,"No. 1, Daxue Rd, East District, Tainan City, Taiwan 701",51,4365,22.9996873,120.2180947,https://maps.google.com/?cid=16207894908768854430,National Cheng Kung University,432,9912,https://zh.wikipedia.org/wiki/%E5%9C%8B%E7%AB%8B%E6%88%90%E5%8A%9F%E5%A4%A7%E5%AD%B8,,289.1958813332175
???,"Taichung City, Taiwan",67,4506,24.1477358,120.6736482,"https://maps.google.com/?q=Taichung+City,+Taiwan&ftid=0x346917dff97922ef:0x87523ee47ea6447f",Taichung City,560,16405,https://zh.wikipedia.org/wiki/%E8%87%BA%E4%B8%AD%E5%B8%82,"{'southwest': {'lat': 23.9985086, 'lng': 120.4607974}, 'northeast': {'lat': 24.4416975, 'lng': 121.4509512}}",285.219275475003
????,"No. 1, Zhongzheng Rd, West Central District, Tainan City, Taiwan 700",68,4389,22.992029,120.204628,https://maps.google.com/?cid=4703945390712405577,National Museum of Taiwan Literature (formerly the Office of Tainan Prefecture),503,12709,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E6%96%87%E5%AD%B8,,284.4169409254127
